datetime,196 Albany,4101 White Plains Road,57 Cleveland Place,Bathgate Contract Post...,Bay Ridge 5th Avenue,Beach 39th,Bellevue Hospital Center,Belvis Diagnostic & Tr...,Bensonhurst 14th Avenue,Brooklyn Army Terminal,Canarsie Municipal Lot,CI Ida G Israel Chc,Co-op City Retail Space,Coney Island Hospital ...,CU Jonathan Williams C...,CU Vanderbilt,CU Woodside Houses CHC,Cumberland Dtc,Edward Grant,Elmhurst Hospital Center,EY East New York DTC,Fort Hamilton,Gouverneur Healthcare,Greenbelt Recreational...,Harlem Hospital Center,Highbridge Pool,Jacobi Medical Center,JFK Airport,Kew Gardens,Kings County Hospital ...,LaGuardia Airport,Leﬀerts,Lincoln Medical Center,Mariners Harbor Library,Metropolitan Hospital ...,Midwood,Morrisania Diagnostic ...,Mt. Loretto,North Central Bronx Ho...,Northern Boulevard,Old Broadway,Queens Hospital Center,Rain Boston Road Senio...,Red Hook Recreational ...,Sorrentino Recreationa...,St. Albans,St. George Ferry Termi...,St. James Recreational...,Starret City,SY Dyckman Lcdla,SY St. Nicholas Chc,Sydenham,Sydenham Health Center,Tremont Community Heal...,Windsor Park Library,Woodhull Medical Center
1606773203.255532,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773557.715222,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773564.247589,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773592.359494,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773775.56227,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773789.581712,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773812.11559,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773815.956162,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773830.089389,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773833.630886,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773869.145698,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773877.000415,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773926.897455,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773937.737495,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606773978.744919,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606774026.273734,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606774033.754495,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606774081.64111,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606774093.699635,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606774187.697976,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606774197.011975,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606774219.458533,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606775991.927789,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606776079.054181,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606776087.891758,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606776109.765112,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606776169.704664,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606776851.778795,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606776937.814745,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606777018.049149,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606777086.622151,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606777188.539123,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606777219.939957,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606777325.625469,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606777477.082441,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606778079.562535,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606778268.263481,0.0,nan,30.0,nan,nan,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,30.0,nan,60.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,90.0,nan,nan,nan,30.0,120.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan
1606778952.557781,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1606779451.839015,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1606779555.532509,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1606779663.415412,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,60.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
